County,Population,Anglo,Black,Hispanic,Other,,,,,
Kaufman,14.37,91020,15338,32516,4868,,,,,
Kendall,4.38,32383,151,10255,977,,,,,
Kenedy,0.05,94,1,355,10,,,,,
Kent,0.08,657,6,134,13,,,,,
Kerr,5.62,38760,830,15254,1396,,,,,
Kimble,0.50,3634,16,1292,63,,,,,
King,0.03,252,0,41,5,,,,,
Kinney,0.38,1352,38,2344,59,,,,,
Kleberg,3.51,7410,1234,25215,1282,,,,,
Knox,0.38,2188,233,1283,61,,,,,
Lamar,5.28,37793,7276,4869,2850,,,,,
Lamb,1.46,5423,590,8350,194,,,,,
Lampasas,2.30,16213,673,5025,1088,,,,,
La Salle,0.81,937,18,7065,58,,,,,
Lavaca,1.98,14198,1363,3888,315,,,,,
Lee,1.89,11683,1963,4807,410,,,,,
Leon,1.92,14296,1237,3328,339,,,,,
Liberty,8.92,56716,9120,21096,2258,,,,,
Limestone,2.58,15024,4308,5936,562,,,,,
Lipscomb,0.37,2262,7,1378,84,,,,,
Live Oak,1.18,6550,450,4602,229,,,,,
Llano,2.12,18766,112,1938,404,,,,,
Loving,0.01,58,0,18,4,,,,,
Lubbock,31.01,160609,22184,112467,14886,,,,,
Lynn,0.62,2861,121,3137,85,,,,,
Mcculloch,0.90,5687,140,3017,115,,,,,
Mclennan,25.32,132080,36851,74572,9700,,,,,
Mcmullen,0.08,458,8,297,6,,,,,
Madison,1.55,8805,2865,3441,341,,,,,
Marion,1.13,7970,2550,406,412,,,,,
Martin,0.55,2839,74,2548,68,,,,,
Mason,0.42,3109,14,1029,40,,,,,
Matagorda,3.94,16979,4261,16878,1306,,,,,
Maverick,6.26,1700,80,59906,920,,,,,
Medina,5.58,24404,985,29363,1018,,,,,
Menard,0.24,1403,11,969,15,,,,,
Midland,15.69,71445,9492,70232,5693,,,,,
Milam,2.66,16163,2583,7363,461,,,,,
Mills,0.52,4094,27,1005,72,,,,,
Mitchell,1.00,4799,1046,4006,140,,,,,
Montague,2.13,18031,38,2759,468,,,,,
Montgomery,63.64,400948,28144,177438,29884,,,,,
Moore,2.54,8087,327,14166,2846,,,,,
Morris,1.38,8610,3262,1535,418,,,,,
Motley,0.12,970,24,192,10,,,,,
Nacogdoches,7.25,41089,13193,15655,2529,,,,,
Navarro,5.46,29661,6567,16508,1892,,,,,
Newton,1.43,10428,3022,482,409,,,,,
Nolan,1.61,9136,740,5905,301,,,,,
Nueces,37.29,103129,12691,243355,13708,,,,,
Ochiltree,1.25,5046,19,7205,184,,,,,
Oldham,0.22,1772,73,312,53,,,,,
Orange,8.74,69111,7842,7304,3172,,,,,
Palo Pinto,3.13,23290,648,6746,654,,,,,
Panola,2.58,18223,4095,2890,559,,,,,
Parker,15.43,122604,2466,24392,4835,,,,,
Parmer,1.21,3696,96,8268,79,,,,,
